04/27/21 7:03:35: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:03:46: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:03:49: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:03:49: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:03:52: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:04:52: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:04:52: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:05:14: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:05:22: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:05:22: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:05:54: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:06:24: editor-style.scss - Undefined variable $lightgrey2: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 228, at column 9
04/27/21 7:14:28: style.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:14:28: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 7:14:28: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
04/27/21 7:14:29: style.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:14:29: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 7:14:29: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
04/27/21 7:14:33: style.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:14:33: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 7:14:33: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
04/27/21 7:16:29: style.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:16:29: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 7:16:29: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
04/27/21 7:16:34: style.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:16:34: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
